source_ip,target_ip,weight
15.42.17.122,15.254.48.24,7.8841629595e-06
174.180.184.41,15.254.48.24,1.94613665187e-05
248.142.24.28,15.254.48.24,3.8644612826e-06
116.189.188.203,15.254.48.24,1.98143356105e-05
235.92.48.79,15.254.48.24,1.15268717475e-05
12.99.78.71,15.254.48.24,6.8861854569e-06
124.16.181.229,4.67.141.161,6.1043321549e-06
246.14.57.42,4.67.141.161,1.18132988526e-05
23.155.14.218,4.67.141.161,2.4894557036e-06
71.50.188.66,4.67.141.161,1.8724783068e-06
15.42.17.122,4.67.141.161,7.4928015736e-06
174.180.184.41,4.67.141.161,1.8779488695e-05
248.142.24.28,4.67.141.161,1.39453119944e-05
116.189.188.203,4.67.141.161,5.8739951607e-06
235.92.48.79,4.67.141.161,9.4031155069e-06
12.99.78.71,4.67.141.161,3.1973362029e-06
124.16.181.229,251.57.18.87,1.11855736623e-05
246.14.57.42,251.57.18.87,1.9127401535e-06
23.155.14.218,251.57.18.87,9.5060636285e-06
71.50.188.66,251.57.18.87,1.11131970173e-05
15.42.17.122,251.57.18.87,8.3679227325e-06
174.180.184.41,251.57.18.87,1.21677895897e-05
248.142.24.28,251.57.18.87,1.23201281005e-05
116.189.188.203,251.57.18.87,2.8311363168e-06
235.92.48.79,251.57.18.87,1.3368498399e-05
12.99.78.71,251.57.18.87,7.7045403276e-06
124.16.181.229,238.36.107.103,1.515005375e-06
246.14.57.42,238.36.107.103,2.7808751667e-06
23.155.14.218,238.36.107.103,1.63033785657e-05
71.50.188.66,238.36.107.103,1.80178732039e-05
15.42.17.122,238.36.107.103,1.8199304364e-05
174.180.184.41,238.36.107.103,6.9441807438e-06
248.142.24.28,238.36.107.103,1.56196789156e-05
116.189.188.203,238.36.107.103,2.018670913e-06
235.92.48.79,238.36.107.103,1.69907102943e-05
12.99.78.71,238.36.107.103,1.1503995956e-05
124.16.181.229,182.214.79.63,5.2218012538e-06
246.14.57.42,182.214.79.63,1.53091458758e-05
23.155.14.218,182.214.79.63,1.97491270691e-05
71.50.188.66,182.214.79.63,1.56247758807e-05
15.42.17.122,182.214.79.63,1.80391389038e-05
174.180.184.41,182.214.79.63,1.92319764205e-05
248.142.24.28,182.214.79.63,1.13332994163e-05
116.189.188.203,182.214.79.63,1.11110510525e-05
235.92.48.79,182.214.79.63,3.1553810387e-06
12.99.78.71,182.214.79.63,1.59337542821e-05
124.16.181.229,103.92.3.12,6.4448734946e-06
246.14.57.42,103.92.3.12,9.9184260701e-06
23.155.14.218,103.92.3.12,9.6514639145e-06
71.50.188.66,103.92.3.12,5.901476438e-06
15.42.17.122,103.92.3.12,1.42035918611e-05
174.180.184.41,103.92.3.12,7.1789190309e-06
248.142.24.28,103.92.3.12,1.15758237254e-05
116.189.188.203,103.92.3.12,5.3631666199e-06
235.92.48.79,103.92.3.12,1.0994817898e-06
12.99.78.71,103.92.3.12,1.50058755615e-05
124.16.181.229,186.133.88.25,1.30380732942e-05
246.14.57.42,186.133.88.25,1.07021963761e-05
23.155.14.218,186.133.88.25,1.34850225001e-05
71.50.188.66,186.133.88.25,1.56037843015e-05
15.42.17.122,186.133.88.25,3.0096069981e-06
174.180.184.41,186.133.88.25,1.91401798023e-05
248.142.24.28,186.133.88.25,1.04927135916e-05
116.189.188.203,186.133.88.25,1.99757756515e-05
235.92.48.79,186.133.88.25,1.74041444233e-05
12.99.78.71,186.133.88.25,1.15149750273e-05
124.16.181.229,251.146.218.18,1.07993903319e-05
246.14.57.42,251.146.218.18,1.75683259203e-05
23.155.14.218,251.146.218.18,1.80207446591e-05
71.50.188.66,251.146.218.18,8.0053175735e-06
15.42.17.122,251.146.218.18,7.2242840774e-06
174.180.184.41,251.146.218.18,8.7305964142e-06
248.142.24.28,251.146.218.18,1.42860529247e-05
116.189.188.203,251.146.218.18,3.0507663658e-06
235.92.48.79,251.146.218.18,6.272862677e-06
12.99.78.71,251.146.218.18,1.57160711449e-05
124.16.181.229,16.17.146.150,7.8541633976e-06
246.14.57.42,16.17.146.150,1.03843956866e-05
23.155.14.218,16.17.146.150,1.71116028827e-05
71.50.188.66,16.17.146.150,1.19621807975e-05
15.42.17.122,16.17.146.150,8.6034995914e-06
174.180.184.41,16.17.146.150,1.215452846e-05
248.142.24.28,16.17.146.150,1.62884873121e-05
116.189.188.203,16.17.146.150,9.5193382673e-06
235.92.48.79,16.17.146.150,9.8361958884e-06
12.99.78.71,16.17.146.150,8.0457673762e-06
124.16.181.229,7.206.175.27,7.7020680814e-06
246.14.57.42,7.206.175.27,2.5774305193e-06
23.155.14.218,7.206.175.27,1.97574120159e-05
71.50.188.66,7.206.175.27,7.8209411847e-06
15.42.17.122,7.206.175.27,4.4378585518e-06
174.180.184.41,7.206.175.27,9.2228603732e-06
248.142.24.28,7.206.175.27,1.7616694005e-05
116.189.188.203,7.206.175.27,7.5639083485e-06
235.92.48.79,7.206.175.27,2.1797733995e-06
12.99.78.71,7.206.175.27,1.70962202345e-05
124.16.181.229,2.72.255.161,4.1106432674e-06
246.14.57.42,2.72.255.161,1.27591669306e-05
23.155.14.218,2.72.255.161,9.802110525e-06
71.50.188.66,2.72.255.161,1.16198622813e-05
15.42.17.122,2.72.255.161,3.5071175795e-06
174.180.184.41,2.72.255.161,1.06987615983e-05
248.142.24.28,2.72.255.161,1.7164695458e-06
116.189.188.203,2.72.255.161,9.3115722287e-06
235.92.48.79,2.72.255.161,1.48348144428e-05
12.99.78.71,2.72.255.161,1.03392625603e-05
124.16.181.229,238.218.81.224,3.4513076222e-06
246.14.57.42,238.218.81.224,1.12651026188e-05
23.155.14.218,238.218.81.224,1.98530668674e-05
71.50.188.66,238.218.81.224,6.9596116722e-06
15.42.17.122,238.218.81.224,2.4591957315e-06
174.180.184.41,238.218.81.224,1.82233181497e-05
248.142.24.28,238.218.81.224,2.7671353145e-06
116.189.188.203,238.218.81.224,5.9487927841e-06
235.92.48.79,238.218.81.224,2.673373248e-06
12.99.78.71,238.218.81.224,1.19968293624e-05
124.16.181.229,6.97.200.82,1.17732845517e-05
246.14.57.42,6.97.200.82,1.25958611742e-05
23.155.14.218,6.97.200.82,6.6087783254e-06
71.50.188.66,6.97.200.82,1.03976388377e-05
15.42.17.122,6.97.200.82,1.09015301058e-05
174.180.184.41,6.97.200.82,1.76339275467e-05
248.142.24.28,6.97.200.82,1.7445011571e-06
116.189.188.203,6.97.200.82,1.51097818567e-05
235.92.48.79,6.97.200.82,1.25425783626e-05
12.99.78.71,6.97.200.82,1.8297200063e-06
124.16.181.229,44.159.129.173,1.21334837607e-05
246.14.57.42,44.159.129.173,9.3994503496e-06
23.155.14.218,44.159.129.173,1.53774176144e-05
71.50.188.66,44.159.129.173,9.7902153385e-06
15.42.17.122,44.159.129.173,1.47513608952e-05
174.180.184.41,44.159.129.173,1.49247449602e-05
248.142.24.28,44.159.129.173,7.6826185589e-06
116.189.188.203,44.159.129.173,1.17231794061e-05
235.92.48.79,44.159.129.173,5.1347100981e-06
12.99.78.71,44.159.129.173,1.52050499509e-05
124.16.181.229,82.209.148.178,1.69819874717e-05
246.14.57.42,82.209.148.178,1.97399088416e-05
23.155.14.218,82.209.148.178,1.76368396391e-05
71.50.188.66,82.209.148.178,8.1457062818e-06
15.42.17.122,82.209.148.178,1.04167461102e-05
174.180.184.41,82.209.148.178,8.1366462667e-06
248.142.24.28,82.209.148.178,2.4622612484e-06
116.189.188.203,82.209.148.178,1.60899929766e-05
235.92.48.79,82.209.148.178,8.5082091395e-06
12.99.78.71,82.209.148.178,1.82251512959e-05
124.16.181.229,171.135.180.204,8.93394213e-06
246.14.57.42,171.135.180.204,1.24640806866e-05
23.155.14.218,171.135.180.204,4.6750357727e-06
71.50.188.66,171.135.180.204,3.3882832963e-06
15.42.17.122,171.135.180.204,1.38064076551e-05
174.180.184.41,171.135.180.204,1.07063655595e-05
248.142.24.28,171.135.180.204,4.0694295455e-06
116.189.188.203,171.135.180.204,5.2091145041e-06
235.92.48.79,171.135.180.204,1.70921663313e-05
12.99.78.71,171.135.180.204,1.99103181623e-05
124.16.181.229,159.12.191.47,1.84001953062e-05
246.14.57.42,159.12.191.47,1.16490497543e-05
23.155.14.218,159.12.191.47,1.20500442319e-05
71.50.188.66,159.12.191.47,3.1579075339e-06
15.42.17.122,159.12.191.47,1.49061954176e-05
174.180.184.41,159.12.191.47,1.33617077169e-05
248.142.24.28,159.12.191.47,8.1156498415e-06
116.189.188.203,159.12.191.47,5.4310313812e-06
235.92.48.79,159.12.191.47,9.8828566375e-06
12.99.78.71,159.12.191.47,8.9859906893e-06
124.16.181.229,39.123.58.1,1.32905217984e-05
246.14.57.42,39.123.58.1,1.67338533014e-05
23.155.14.218,39.123.58.1,7.5871075006e-06
71.50.188.66,39.123.58.1,1.71216282025e-05
15.42.17.122,39.123.58.1,1.46981272456e-05
174.180.184.41,39.123.58.1,4.5545113827e-06
248.142.24.28,39.123.58.1,6.5462517078e-06
116.189.188.203,39.123.58.1,1.51017839256e-05
235.92.48.79,39.123.58.1,1.65525636818e-05
12.99.78.71,39.123.58.1,5.6920476061e-06
124.16.181.229,87.129.33.62,1.53439809924e-05
246.14.57.42,87.129.33.62,9.1854503313e-06
23.155.14.218,87.129.33.62,1.24860533283e-05
71.50.188.66,87.129.33.62,4.8414305269e-06
15.42.17.122,87.129.33.62,3.1123292144e-06
174.180.184.41,87.129.33.62,1.6051735605e-05
248.142.24.28,87.129.33.62,1.07156217937e-05
116.189.188.203,87.129.33.62,2.3427415484e-06
235.92.48.79,87.129.33.62,9.5748376763e-06
12.99.78.71,87.129.33.62,2.3572154055e-06
124.16.181.229,181.147.173.39,6.1985003935e-06
246.14.57.42,181.147.173.39,1.8176078847e-05
23.155.14.218,181.147.173.39,1.96438547534e-05
71.50.188.66,181.147.173.39,4.5972441174e-06
15.42.17.122,181.147.173.39,4.4688577033e-06
174.180.184.41,181.147.173.39,2.7275219024e-06
248.142.24.28,181.147.173.39,1.53567852131e-05
116.189.188.203,181.147.173.39,1.6148166699e-05
235.92.48.79,181.147.173.39,1.81710368735e-05
12.99.78.71,181.147.173.39,6.5308296766e-06
124.16.181.229,97.233.90.187,1.72732563815e-05
246.14.57.42,97.233.90.187,4.7200320413e-06
23.155.14.218,97.233.90.187,1.64870548542e-05
71.50.188.66,97.233.90.187,4.5848644104e-06
15.42.17.122,97.233.90.187,1.80189511374e-05
174.180.184.41,97.233.90.187,1.53274108442e-05
248.142.24.28,97.233.90.187,1.79533014499e-05
116.189.188.203,97.233.90.187,7.4144907229e-06
235.92.48.79,97.233.90.187,1.23012312743e-05
12.99.78.71,97.233.90.187,1.49923219809e-05
124.16.181.229,116.183.118.123,1.22075787423e-05
246.14.57.42,116.183.118.123,1.32163465872e-05
23.155.14.218,116.183.118.123,1.2869349127e-06
71.50.188.66,116.183.118.123,7.3122310002e-06
15.42.17.122,116.183.118.123,1.65044824849e-05
174.180.184.41,116.183.118.123,5.5964813433e-06
248.142.24.28,116.183.118.123,5.2371888514e-06
116.189.188.203,116.183.118.123,3.9910543819e-06
235.92.48.79,116.183.118.123,1.82774954019e-05
12.99.78.71,116.183.118.123,6.3700188325e-06
124.16.181.229,207.211.225.50,9.4473550778e-06
246.14.57.42,207.211.225.50,4.8569793586e-06
23.155.14.218,207.211.225.50,1.9738113774e-05
71.50.188.66,207.211.225.50,1.14626907169e-05
15.42.17.122,207.211.225.50,1.14924170713e-05
174.180.184.41,207.211.225.50,1.22801810516e-05
248.142.24.28,207.211.225.50,3.469794298e-06
116.189.188.203,207.211.225.50,1.21830782718e-05
235.92.48.79,207.211.225.50,1.05185120163e-05
12.99.78.71,207.211.225.50,2.8393942413e-06
124.16.181.229,42.196.251.26,1.97324956804e-05
246.14.57.42,42.196.251.26,1.44512482961e-05
23.155.14.218,42.196.251.26,1.66635796046e-05
71.50.188.66,42.196.251.26,1.17829452678e-05
15.42.17.122,42.196.251.26,5.2474800995e-06
174.180.184.41,42.196.251.26,1.31407441247e-05
248.142.24.28,42.196.251.26,2.2916465094e-06
116.189.188.203,42.196.251.26,1.85313363495e-05
235.92.48.79,42.196.251.26,1.00201842246e-05
12.99.78.71,42.196.251.26,1.39075098152e-05
124.16.181.229,155.239.5.180,1.15813982201e-05
246.14.57.42,155.239.5.180,4.8119264186e-06
23.155.14.218,155.239.5.180,2.140548347e-06
71.50.188.66,155.239.5.180,1.4252434873e-05
15.42.17.122,155.239.5.180,1.2177217505e-05
174.180.184.41,155.239.5.180,1.1527643539e-06
248.142.24.28,155.239.5.180,1.92319829786e-05
116.189.188.203,155.239.5.180,5.6252579227e-06
235.92.48.79,155.239.5.180,5.9622878275e-06
12.99.78.71,155.239.5.180,1.8218832627e-05
124.16.181.229,98.13.17.201,2.9241757425e-06
246.14.57.42,98.13.17.201,1.8304913019e-05
23.155.14.218,98.13.17.201,9.1547567381e-06
71.50.188.66,98.13.17.201,7.0127562305e-06
15.42.17.122,98.13.17.201,1.97672663141e-05
174.180.184.41,98.13.17.201,1.16968684583e-05
248.142.24.28,98.13.17.201,1.70381188991e-05
116.189.188.203,98.13.17.201,7.1416439042e-06
235.92.48.79,98.13.17.201,2.5474121483e-06
12.99.78.71,98.13.17.201,2.9472743196e-06
124.16.181.229,2.195.67.156,2.0078912254e-06
246.14.57.42,2.195.67.156,1.76012383631e-05
23.155.14.218,2.195.67.156,1.66847594628e-05
71.50.188.66,2.195.67.156,1.8313860287e-05
15.42.17.122,2.195.67.156,9.4858756556e-06
174.180.184.41,2.195.67.156,5.455634442e-06
248.142.24.28,2.195.67.156,7.0674609884e-06
116.189.188.203,2.195.67.156,6.2065365121e-06
235.92.48.79,2.195.67.156,1.61266356691e-05
12.99.78.71,2.195.67.156,6.5997662042e-06
124.16.181.229,92.60.95.16,3.8222104261e-06
246.14.57.42,92.60.95.16,7.4078474625e-06
23.155.14.218,92.60.95.16,6.2250718957e-06
71.50.188.66,92.60.95.16,1.93657119252e-05
15.42.17.122,92.60.95.16,1.09262673405e-05
174.180.184.41,92.60.95.16,1.90928875025e-05
248.142.24.28,92.60.95.16,2.4773595725e-06
116.189.188.203,92.60.95.16,1.68614378857e-05
235.92.48.79,92.60.95.16,1.38056115649e-05
12.99.78.71,92.60.95.16,1.23237619301e-05
124.16.181.229,7.73.70.247,1.84334851394e-05
246.14.57.42,7.73.70.247,1.38202455809e-05
23.155.14.218,7.73.70.247,1.10274901227e-05
71.50.188.66,7.73.70.247,6.7983821071e-06
15.42.17.122,7.73.70.247,7.5736638865e-06
174.180.184.41,7.73.70.247,1.84074566941e-05
248.142.24.28,7.73.70.247,1.62508079488e-05
116.189.188.203,7.73.70.247,3.1795373917e-06
235.92.48.79,7.73.70.247,9.1624104456e-06
12.99.78.71,7.73.70.247,1.8531253658e-05
124.16.181.229,227.166.28.90,8.8634546348e-06
246.14.57.42,227.166.28.90,1.31669658202e-05
23.155.14.218,227.166.28.90,7.7757186055e-06
71.50.188.66,227.166.28.90,1.56173173828e-05
15.42.17.122,227.166.28.90,1.5566201578e-06
174.180.184.41,227.166.28.90,1.73785733298e-05
248.142.24.28,227.166.28.90,1.65699023901e-05
116.189.188.203,227.166.28.90,1.92671708358e-05
235.92.48.79,227.166.28.90,5.9206560756e-06
12.99.78.71,227.166.28.90,1.17457979555e-05
124.16.181.229,68.77.27.88,1.08495475936e-05
246.14.57.42,68.77.27.88,1.24367283676e-05
23.155.14.218,68.77.27.88,6.7535109441e-06
71.50.188.66,68.77.27.88,5.6180581856e-06
15.42.17.122,68.77.27.88,3.3848889588e-06
174.180.184.41,68.77.27.88,2.4105178527e-06
248.142.24.28,68.77.27.88,9.8985789023e-06
116.189.188.203,68.77.27.88,1.85362768866e-05
235.92.48.79,68.77.27.88,5.6221009936e-06
12.99.78.71,68.77.27.88,1.30593535474e-05
124.16.181.229,49.113.185.93,1.6138650716e-06
246.14.57.42,49.113.185.93,3.6267196175e-06
23.155.14.218,49.113.185.93,1.35650601738e-05
71.50.188.66,49.113.185.93,1.32228228457e-05
15.42.17.122,49.113.185.93,1.13961200108e-05
174.180.184.41,49.113.185.93,1.27174365621e-05
248.142.24.28,49.113.185.93,1.59919640524e-05
116.189.188.203,49.113.185.93,8.2119893466e-06
235.92.48.79,49.113.185.93,2.11703318e-06
12.99.78.71,49.113.185.93,1.04666595358e-05
124.16.181.229,227.178.12.129,1.85173992556e-05
246.14.57.42,227.178.12.129,1.48334130288e-05
23.155.14.218,227.178.12.129,1.0541679084e-06
71.50.188.66,227.178.12.129,7.6872984966e-06
15.42.17.122,227.178.12.129,1.3044100439e-06
174.180.184.41,227.178.12.129,8.9531195678e-06
248.142.24.28,227.178.12.129,1.8833827315e-05
116.189.188.203,227.178.12.129,1.95532602755e-05
235.92.48.79,227.178.12.129,1.97029512323e-05
12.99.78.71,227.178.12.129,1.42439653899e-05
124.16.181.229,5.103.235.84,3.3044132616e-06
246.14.57.42,5.103.235.84,6.7275527272e-06
23.155.14.218,5.103.235.84,1.67561286048e-05
71.50.188.66,5.103.235.84,1.67076747304e-05
15.42.17.122,5.103.235.84,1.00997496343e-05
174.180.184.41,5.103.235.84,9.2660699294e-06
248.142.24.28,5.103.235.84,1.70941998499e-05
116.189.188.203,5.103.235.84,1.32326472152e-05
235.92.48.79,5.103.235.84,3.8570389634e-06
12.99.78.71,5.103.235.84,1.07652990733e-05
124.16.181.229,43.226.47.215,7.3675819422e-06
246.14.57.42,43.226.47.215,1.38077423795e-05
23.155.14.218,43.226.47.215,4.2220824497e-06
71.50.188.66,43.226.47.215,9.5404173486e-06
15.42.17.122,43.226.47.215,7.8274290646e-06
174.180.184.41,43.226.47.215,9.6952909802e-06
248.142.24.28,43.226.47.215,1.24665424379e-05
116.189.188.203,43.226.47.215,1.56112210776e-05
235.92.48.79,43.226.47.215,1.62122308863e-05
12.99.78.71,43.226.47.215,5.7810097302e-06
124.16.181.229,250.66.165.33,1.28029950753e-05
246.14.57.42,250.66.165.33,1.94888879085e-05
23.155.14.218,250.66.165.33,1.73704571651e-05
71.50.188.66,250.66.165.33,1.3803601169e-05
15.42.17.122,250.66.165.33,5.5660335623e-06
174.180.184.41,250.66.165.33,1.24843516922e-05
248.142.24.28,250.66.165.33,7.8331640195e-06
116.189.188.203,250.66.165.33,1.87669633284e-05
235.92.48.79,250.66.165.33,8.8842595107e-06
12.99.78.71,250.66.165.33,1.14378795368e-05
124.16.181.229,188.241.237.243,1.55431130224e-05
246.14.57.42,188.241.237.243,1.36957402621e-05
23.155.14.218,188.241.237.243,1.21214935175e-05
71.50.188.66,188.241.237.243,1.1154027937e-06
15.42.17.122,188.241.237.243,1.49570284215e-05
174.180.184.41,188.241.237.243,1.06645140147e-05
248.142.24.28,188.241.237.243,1.87458524447e-05
116.189.188.203,188.241.237.243,5.0340191389e-06
235.92.48.79,188.241.237.243,4.9801328742e-06
12.99.78.71,188.241.237.243,1.0838649528e-05
124.16.181.229,58.77.51.227,1.23608818571e-05
246.14.57.42,58.77.51.227,1.15827023897e-05
23.155.14.218,58.77.51.227,6.8998183862e-06
71.50.188.66,58.77.51.227,2.1138584654e-06
15.42.17.122,58.77.51.227,4.017961741e-06
174.180.184.41,58.77.51.227,1.11470393441e-05
248.142.24.28,58.77.51.227,1.90741927684e-05
116.189.188.203,58.77.51.227,4.9666012427e-06
235.92.48.79,58.77.51.227,1.57578007482e-05
12.99.78.71,58.77.51.227,1.53032642905e-05
124.16.181.229,15.109.89.83,1.41566161422e-05
246.14.57.42,15.109.89.83,1.37937258198e-05
23.155.14.218,15.109.89.83,7.53880044e-06
71.50.188.66,15.109.89.83,1.42008108525e-05
15.42.17.122,15.109.89.83,4.2691909547e-06
174.180.184.41,15.109.89.83,9.9314168814e-06
248.142.24.28,15.109.89.83,1.60041579501e-05
116.189.188.203,15.109.89.83,4.0904217832e-06
235.92.48.79,15.109.89.83,1.45009404329e-05
12.99.78.71,15.109.89.83,1.48424994802e-05
124.16.181.229,187.179.10.146,1.11575429905e-05
246.14.57.42,187.179.10.146,1.2760902624e-05
23.155.14.218,187.179.10.146,1.28935924969e-05
71.50.188.66,187.179.10.146,3.9484012355e-06
15.42.17.122,187.179.10.146,1.51244471466e-05
174.180.184.41,187.179.10.146,1.71710404917e-05
248.142.24.28,187.179.10.146,1.53696484689e-05
116.189.188.203,187.179.10.146,1.2065824506e-06
235.92.48.79,187.179.10.146,2.5699637871e-06
12.99.78.71,187.179.10.146,4.9452744002e-06
124.16.181.229,132.211.95.107,1.334886493e-06
246.14.57.42,132.211.95.107,1.14714688196e-05
23.155.14.218,132.211.95.107,1.79536524014e-05
71.50.188.66,132.211.95.107,1.81837877195e-05
15.42.17.122,132.211.95.107,6.2663058501e-06
174.180.184.41,132.211.95.107,8.2445104138e-06
248.142.24.28,132.211.95.107,1.59483965945e-05
116.189.188.203,132.211.95.107,9.3082682481e-06
235.92.48.79,132.211.95.107,6.8784305881e-06
12.99.78.71,132.211.95.107,7.5817607698e-06
124.16.181.229,161.31.115.245,1.040791367e-05
246.14.57.42,161.31.115.245,3.9124721272e-06
23.155.14.218,161.31.115.245,1.3332676099e-05
71.50.188.66,161.31.115.245,1.36120626816e-05
15.42.17.122,161.31.115.245,3.5692521537e-06
174.180.184.41,161.31.115.245,1.3542237878e-05
248.142.24.28,161.31.115.245,6.2032839807e-06
116.189.188.203,161.31.115.245,1.86844827997e-05
235.92.48.79,161.31.115.245,1.70749882319e-05
12.99.78.71,161.31.115.245,9.3303828781e-06
124.16.181.229,133.150.215.33,5.8305951224e-06
246.14.57.42,133.150.215.33,1.5779090655e-05
23.155.14.218,133.150.215.33,4.5585696141e-06
71.50.188.66,133.150.215.33,1.17384746069e-05
15.42.17.122,133.150.215.33,1.74499415893e-05
174.180.184.41,133.150.215.33,1.3600446562e-06
248.142.24.28,133.150.215.33,2.8151995136e-06
116.189.188.203,133.150.215.33,9.1727688577e-06
235.92.48.79,133.150.215.33,1.68887856117e-05
12.99.78.71,133.150.215.33,1.13604547409e-05
124.16.181.229,102.36.237.134,1.86118306318e-05
246.14.57.42,102.36.237.134,6.2815827594e-06
23.155.14.218,102.36.237.134,4.8286696177e-06
71.50.188.66,102.36.237.134,1.38904894464e-05
15.42.17.122,102.36.237.134,1.99269010696e-05
174.180.184.41,102.36.237.134,1.71538771474e-05
248.142.24.28,102.36.237.134,8.0828169935e-06
116.189.188.203,102.36.237.134,6.4341646719e-06
235.92.48.79,102.36.237.134,1.90207885153e-05
12.99.78.71,102.36.237.134,4.593536313e-06
124.16.181.229,103.25.234.126,3.0838779388e-06
246.14.57.42,103.25.234.126,3.1740603788e-06
23.155.14.218,103.25.234.126,3.676776079e-06
71.50.188.66,103.25.234.126,1.14996516927e-05
15.42.17.122,103.25.234.126,7.3516466882e-06
174.180.184.41,103.25.234.126,4.9860867057e-06
248.142.24.28,103.25.234.126,1.44041176739e-05
116.189.188.203,103.25.234.126,7.6583054569e-06
235.92.48.79,103.25.234.126,1.80061993267e-05
12.99.78.71,103.25.234.126,1.29448149966e-05
124.16.181.229,145.193.148.131,1.0377537847e-05
246.14.57.42,145.193.148.131,9.1409244989e-06
23.155.14.218,145.193.148.131,6.4409059052e-06
71.50.188.66,145.193.148.131,1.60006758377e-05
15.42.17.122,145.193.148.131,1.60559750958e-05
174.180.184.41,145.193.148.131,1.24756714167e-05
248.142.24.28,145.193.148.131,4.6447756037e-06
116.189.188.203,145.193.148.131,1.67631034094e-05
